Settings
TF	Binary TF
IDF	Using IDF
Normalisation	No Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.11058843933945839

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.10369193816098084
2	0.027565084226646247	0.6923076923076923	0.02452802856135622
3	0.1836734693877551	0.20454545454545456	0.06139698369812006
4	0.016129032258064516	1	0.19069687964754417
5	0.01752021563342318	0.5416666666666666	0.028616868503496668
6	0.00411522633744856	1	0.5
7	0.007438894792773645	0.875	0.04342138671543994
8	0.02280701754385965	0.7222222222222222	0.01811927656142102
9	0.06201550387596899	0.7058823529411765	0.12891628888372247
10	0.04	0.7307692307692307	0.04491766408783703
11	0.09169054441260745	0.25196850393700787	0.02379750001118845
12	0.014534883720930232	0.7692307692307693	0.05297174329809311
13	0.10586552217453506	0.8131868131868132	0.20222179851544334
14	0.011904761904761904	0.6666666666666666	0.006355218855218854
15	0.08442982456140351	0.9390243902439024	0.25392004768858323
16	0.036619718309859155	0.5	0.03086608351980895
17	0.019067796610169493	0.34615384615384615	0.051227213874717556
18	0.02320185614849188	0.9090909090909091	0.05806782328756376
19	0.11166666666666666	0.8271604938271605	0.20524058011309118
20	0.14112903225806453	0.24305555555555555	0.04554340954241925
21	0.05527638190954774	0.44	0.04478156884657412
22	0.04608294930875576	0.18867924528301888	0.01382157848703571
23	0.05798969072164949	0.9375	0.1660520245483719
24	0.06872852233676977	0.7692307692307693	0.1394657535221996
25	0.1568627450980392	0.7272727272727273	0.3165293966419553
26	0.16165413533834586	0.7678571428571429	0.25649975118253415
27	0.259946949602122	0.8521739130434782	0.3359151742239526
28	0.09691629955947137	0.36666666666666664	0.06627500875849612
29	0.07926829268292683	0.2708333333333333	0.021062155657000526
30	0.3469387755102041	0.5074626865671642	0.19382681961112172
31	0.09246575342465753	0.4426229508196721	0.08110592672811873
32	0.09747606614447346	0.9572649572649573	0.19911838715240074
33	0.02912621359223301	0.75	0.10588132209962722
34	0.04100946372239748	0.34210526315789475	0.1161848426843521
35	0.07434944237918216	0.46511627906976744	0.06609565319378813
36	null	null	null
37	0.0397196261682243	0.85	0.11888887641012791
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.11662862697833118
40	null	null	null
41	0.010251630941286114	1	0.059412382187114685
42	0.04523809523809524	0.76	0.1351116350826836
43	0.011121408711770158	0.9230769230769231	0.030714957154274174
44	0.12624254473161034	0.8193548387096774	0.1956381339024404
45	0.07231404958677685	0.9090909090909091	0.11018277588967938
46	0.09302325581395349	1	0.22378840499373434
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.16045158702420187
50	0.10411311053984576	0.9101123595505618	0.2708907265969202
51	null	null	null
52	0.01266891891891892	1	0.23604024596272305
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.15839989894985512
55	0.021686746987951807	1	0.21328619012371097
56	0.03892493049119555	0.9333333333333333	0.1251222814354796
57	0.016666666666666666	0.8888888888888888	0.1081546299504808
58	0.03458646616541353	1	0.17336818653765396
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.022961020340723056
62	0.00980392156862745	0.9166666666666666	0.11397427005680207
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.0533607687324379
66	0.029359430604982206	0.9428571428571428	0.1495200370137544
67	0.024371667936024372	1	0.09580966236243525
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.033497756292361895
70	null	null	null
71	0.020224719101123594	1	0.12760278448583443
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.21804294030806054
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.029255014068445183
80	null	null	null
81	0.008215085884988798	1	0.03154562311836069
82	0.008517887563884156	1	0.019146325788673063
83	null	null	null
84	0.009329940627650551	1	0.020876971078484408
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.06890783701048288
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.039136991661070666
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.021874147645102347
96	0.006389776357827476	0.8888888888888888	0.014097686774706575
97	0.004866180048661801	1	0.012813134431761493
98	0.024734982332155476	0.9655172413793104	0.215544462674497
99	0.024756189047261814	0.9705882352941176	0.11829259853952306
100	0.01228878648233487	0.8888888888888888	0.014535724746862516
101	0.000784313725490196	1	0.0038910505836575876
102	0.019433198380566803	1	0.16125268913635857
103	null	null	null
104	0.009151414309484194	1	0.035010735728144136
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.12197538974636445
110	null	null	null
111	0.005123825789923143	1	0.028584131430949178
112	null	null	null
