Settings
TF	Binary TF
IDF	No IDF
Normalisation	No Normalisation
Stemming	Using Stemming

Averages
Precision	0.17156384613883466
Recall	0.686290322580645
Non-Interpolated Average Precision	0.2826614288637858

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.07317073170731707	1	0.17941176470588235
2	0.06451612903225806	1	0.11437908496732026
3	0.6666666666666666	0.5	0.29166666666666663
4	0.041666666666666664	0.5	0.0625
5	0.05263157894736842	0.6666666666666666	0.42857142857142855
6	0.1	0.5	0.125
7	0.061224489795918366	0.75	0.047772742818057455
8	0.02702702702702703	1	0.2
9	0.07692307692307693	0.5	0.038461538461538464
10	0.13793103448275862	0.8	0.1296969696969697
11	0.034482758620689655	0.25	0.013157894736842105
12	0.15625	1	0.42142857142857143
13	0.11428571428571428	0.6666666666666666	0.28680555555555554
14	0	0	0
15	0.10256410256410256	0.6666666666666666	0.18790849673202614
16	0.10344827586206896	1	0.15921900161030597
17	0.05555555555555555	1	0.09126984126984126
18	0.15	1	0.8666666666666667
19	0.13793103448275862	0.8	0.24904761904761905
20	0	0	0
21	0.6666666666666666	0.8	0.5866666666666667
22	0.25	0.16666666666666666	0.16666666666666666
23	0.06666666666666667	1	1
24	0.36363636363636365	0.8888888888888888	0.6335045129162776
25	0.25	0.6666666666666666	0.4444444444444444
26	0	0	0
27	0.5588235294117647	0.5757575757575758	0.4028324757223276
28	0	0	0
29	0.14285714285714285	1	0.25
30	0.36363636363636365	0.4444444444444444	0.2888888888888889
31	0.08333333333333333	0.09090909090909091	0.022727272727272728
32	0.043478260869565216	1	0.7
33	0.06060606060606061	0.5	0.0625
34	0.0625	0.16666666666666666	0.023809523809523808
35	0.25	0.375	0.2875
